Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
LT 1B,Senin,1,07.00 - 07.45,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1B,Senin,2,07.45 - 08.30,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1B,Senin,3,08.30 - 09.15,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Senin,4,09.35 - 10.20,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1B,Senin,6,11.05 - 11.50,331-241-103,Dasar Instalasi Listrik,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 1B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Senin,7,12.30 - 13.15,331-241-103,Dasar Instalasi Listrik,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 1B,Senin,9,14.00 - 14.45,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.710,FA
LT 1B,Senin,10,14.45 - 15.30,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.710,FA
LT 1B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Senin,11,16.00 - 16.45,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.710,FA
LT 1B,Selasa,1,07.00 - 07.45,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
LT 1B,Selasa,2,07.45 - 08.30,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
LT 1B,Selasa,3,08.30 - 09.15,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
LT 1B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Selasa,4,09.35 - 10.20,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
LT 1B,Rabu,1,07.00 - 07.45,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/08,AH
LT 1B,Rabu,2,07.45 - 08.30,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/08,AH
LT 1B,Rabu,3,08.30 - 09.15,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/08,AH
LT 1B,Rabu,5,10.20 - 11.05,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
LT 1B,Rabu,6,11.05 - 11.50,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
LT 1B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Rabu,7,12.30 - 13.15,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBII/01,LE
LT 1B,Kamis,3,08.30 - 09.15,331-241-110,Rangkaian Listrik DC,"Nur Hidayat Arief S.T., M.T.",MulMed,NHA
LT 1B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Kamis,4,09.35 - 10.20,331-241-110,Rangkaian Listrik DC,"Nur Hidayat Arief S.T., M.T.",MulMed,NHA
LT 1B,Kamis,5,10.20 - 11.05,331-241-110,Rangkaian Listrik DC,"Nur Hidayat Arief S.T., M.T.",MulMed,NHA
LT 1B,Kamis,6,11.05 - 11.50,331-241-110,Rangkaian Listrik DC,"Nur Hidayat Arief S.T., M.T.",MulMed,NHA
LT 1B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Kamis,7,12.30 - 13.15,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Kamis,8,13.15 - 14.00,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Kamis,9,14.00 - 14.45,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Kamis,10,14.45 - 15.30,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Kamis,11,16.00 - 16.45,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Kamis,12,16.45 - 17.30,331-241-109,Rancangan Instalasi Listrik,"Drs. Amir Subagyo, M.M.",LabBar,AS
LT 1B,Jumat,1,07.00 - 07.45,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,2,07.45 - 08.30,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,3,08.30 - 09.15,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1B,Jumat,4,09.35 - 10.20,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,5,10.20 - 11.05,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,6,11.05 - 11.50,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1B,Jumat,8,13.15 - 14.00,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",GKT.711,RD
LT 1B,Jumat,9,14.00 - 14.45,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",GKT.711,RD
LT 1C,Senin,2,07.45 - 08.30,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",GKT.710,RD
LT 1C,Senin,3,08.30 - 09.15,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",GKT.710,RD
LT 1C,Senin,5,10.20 - 11.05,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",MulMed,LE
LT 1C,Senin,6,11.05 - 11.50,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",MulMed,LE
LT 1C,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Senin,7,12.30 - 13.15,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",MulMed,LE
LT 1C,Senin,8,13.15 - 14.00,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",MulMed,LE
LT 1C,Selasa,2,07.45 - 08.30,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,3,08.30 - 09.15,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Selasa,4,09.35 - 10.20,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,5,10.20 - 11.05,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,6,11.05 - 11.50,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Selasa,7,12.30 - 13.15,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1C,Selasa,9,14.00 - 14.45,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.711,FA
LT 1C,Selasa,10,14.45 - 15.30,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.711,FA
LT 1C,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Selasa,11,16.00 - 16.45,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",GKT.711,FA
LT 1C,Rabu,1,07.00 - 07.45,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,2,07.45 - 08.30,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,3,08.30 - 09.15,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Rabu,4,09.35 - 10.20,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,5,10.20 - 11.05,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,6,11.05 - 11.50,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1C,Rabu,9,14.00 - 14.45,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1C,Rabu,10,14.45 - 15.30,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1C,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Rabu,11,16.00 - 16.45,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1C,Rabu,12,16.45 - 17.30,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1C,Kamis,1,07.00 - 07.45,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
LT 1C,Kamis,2,07.45 - 08.30,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
LT 1C,Kamis,3,08.30 - 09.15,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
LT 1C,Kamis,5,10.20 - 11.05,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1C,Kamis,6,11.05 - 11.50,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1C,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Kamis,7,12.30 - 13.15,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1C,Kamis,8,13.15 - 14.00,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1C,Jumat,1,07.00 - 07.45,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",MulMed,AH
LT 1C,Jumat,2,07.45 - 08.30,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",MulMed,AH
LT 1C,Jumat,3,08.30 - 09.15,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",MulMed,AH
LT 1C,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1C,Jumat,11,16.00 - 16.45,331-241-103,Dasar Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
LT 1C,Jumat,12,16.45 - 17.30,331-241-103,Dasar Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
LT 1D,Senin,3,08.30 - 09.15,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Senin,4,09.35 - 10.20,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,5,10.20 - 11.05,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,6,11.05 - 11.50,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Senin,7,12.30 - 13.15,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,8,13.15 - 14.00,331-241-108,Praktek Dasar Mekanik,"Aji Hari Riyadi, S.T., M.T.",WST,AHR
LT 1D,Senin,9,14.00 - 14.45,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/09,AH
LT 1D,Senin,10,14.45 - 15.30,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/09,AH
LT 1D,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Senin,11,16.00 - 16.45,331-241-101,Alat Ukur & Pengukuran Listrik,"Achmad Hardito, B.Tech., M.Kom.",SBI/09,AH
LT 1D,Selasa,2,07.45 - 08.30,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",LabMikro,LE
LT 1D,Selasa,3,08.30 - 09.15,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",LabMikro,LE
LT 1D,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Selasa,4,09.35 - 10.20,331-241-104,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",LabMikro,LE
LT 1D,Selasa,5,10.20 - 11.05,331-241-103,Dasar Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabMeka,AR
LT 1D,Selasa,6,11.05 - 11.50,331-241-103,Dasar Instalasi Listrik,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabMeka,AR
LT 1D,Selasa,9,14.00 - 14.45,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",SBI/09,RD
LT 1D,Selasa,10,14.45 - 15.30,331-241-102,Bahasa Indonesia,"Rio Devilito S.Pd., M.Pd.",SBI/09,RD
LT 1D,Rabu,1,07.00 - 07.45,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/09,LE
LT 1D,Rabu,2,07.45 - 08.30,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/09,LE
LT 1D,Rabu,3,08.30 - 09.15,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/09,LE
LT 1D,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Rabu,4,09.35 - 10.20,331-241-110,Rangkaian Listrik DC,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/09,LE
LT 1D,Rabu,5,10.20 - 11.05,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1D,Rabu,6,11.05 - 11.50,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1D,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Rabu,7,12.30 - 13.15,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1D,Rabu,8,13.15 - 14.00,331-241-107,Kalkulus,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
LT 1D,Kamis,1,07.00 - 07.45,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1D,Kamis,2,07.45 - 08.30,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1D,Kamis,3,08.30 - 09.15,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1D,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Kamis,4,09.35 - 10.20,331-241-106,Gambar Teknik,"Akhmad Jamaah, S.T., M.Eng.",labGbr,AJ
LT 1D,Kamis,6,11.05 - 11.50,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",LabPLC,FA
LT 1D,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Kamis,7,12.30 - 13.15,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",LabPLC,FA
LT 1D,Kamis,8,13.15 - 14.00,331-241-105,Fisika Listrik,"Friska Ayu Fitriani Sugiono, S.Si., M.T",LabPLC,FA
LT 1D,Jumat,1,07.00 - 07.45,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1D,Jumat,2,07.45 - 08.30,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1D,Jumat,3,08.30 - 09.15,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1D,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 1D,Jumat,4,09.35 - 10.20,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1D,Jumat,5,10.20 - 11.05,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 1D,Jumat,6,11.05 - 11.50,331-241-109,Rancangan Instalasi Listrik,"Drs. Juwarta, M.M.",LabTim,JU
LT 2A,Senin,5,10.20 - 11.05,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2A,Senin,6,11.05 - 11.50,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Senin,7,12.30 - 13.15,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2A,Senin,8,13.15 - 14.00,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2A,Senin,9,14.00 - 14.45,331-211-303,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",LabMikro,AA
LT 2A,Senin,10,14.45 - 15.30,331-211-303,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",LabMikro,AA
LT 2A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Senin,11,16.00 - 16.45,331-211-303,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",LabMikro,AA
LT 2A,Senin,12,16.45 - 17.30,331-211-303,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",LabMikro,AA
LT 2A,Selasa,1,07.00 - 07.45,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Selasa,2,07.45 - 08.30,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Selasa,3,08.30 - 09.15,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Selasa,4,09.35 - 10.20,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Selasa,5,10.20 - 11.05,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Selasa,6,11.05 - 11.50,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2A,Rabu,1,07.00 - 07.45,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/06,HS
LT 2A,Rabu,2,07.45 - 08.30,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/06,HS
LT 2A,Rabu,3,08.30 - 09.15,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/06,HS
LT 2A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Rabu,4,09.35 - 10.20,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/06,HS
LT 2A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Rabu,7,12.30 - 13.15,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Rabu,8,13.15 - 14.00,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Rabu,9,14.00 - 14.45,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Rabu,10,14.45 - 15.30,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Rabu,11,16.00 - 16.45,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Rabu,12,16.45 - 17.30,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabTim,AW
LT 2A,Kamis,1,07.00 - 07.45,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 2A,Kamis,2,07.45 - 08.30,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 2A,Kamis,3,08.30 - 09.15,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 2A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Kamis,4,09.35 - 10.20,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
LT 2A,Kamis,5,10.20 - 11.05,331-211-302,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",GKT.710,"DA, DAV"
LT 2A,Kamis,6,11.05 - 11.50,331-211-302,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",GKT.710,"DA, DAV"
LT 2A,Jumat,1,07.00 - 07.45,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",LabKom,SE
LT 2A,Jumat,2,07.45 - 08.30,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",LabKom,SE
LT 2A,Jumat,3,08.30 - 09.15,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",LabKom,SE
LT 2A,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2A,Jumat,4,09.35 - 10.20,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",LabKom,SE
LT 2A,Jumat,5,10.20 - 11.05,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
LT 2A,Jumat,6,11.05 - 11.50,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
LT 2A,Jumat,8,13.15 - 14.00,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
LT 2A,Jumat,9,14.00 - 14.45,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",MulMed,BB
LT 2B,Senin,1,07.00 - 07.45,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,2,07.45 - 08.30,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,3,08.30 - 09.15,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2B,Senin,4,09.35 - 10.20,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,5,10.20 - 11.05,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,6,11.05 - 11.50,331-211-309,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
LT 2B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2B,Senin,7,12.30 - 13.15,331-211-302,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",LabMikro,"DA, DAV"
LT 2B,Senin,8,13.15 - 14.00,331-211-302,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",LabMikro,"DA, DAV"
LT 2B,Selasa,1,07.00 - 07.45,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2B,Selasa,2,07.45 - 08.30,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2B,Selasa,3,08.30 - 09.15,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2B,Selasa,4,09.35 - 10.20,331-211-301,Algoritma dan Pemrograman,"Dr. Mohammad Khambali, B.Eng., M.Kom.",LabKom,MK
LT 2B,Selasa,5,10.20 - 11.05,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Selasa,6,11.05 - 11.50,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2B,Selasa,7,12.30 - 13.15,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Selasa,8,13.15 - 14.00,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Selasa,9,14.00 - 14.45,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Selasa,10,14.45 - 15.30,331-211-308,Praktikum Elektronika,"Adi Wasono, B.Eng., M.Eng.",LabMikro,AW
LT 2B,Rabu,1,07.00 - 07.45,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",LabMeka,P
LT 2B,Rabu,2,07.45 - 08.30,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",LabMeka,P
